BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3039,159, ,B1, 476 EAST 186 STREET , ,10458,2,0,2,"2,033","2,400",1997, 1 , B1 ," $400,000 ",2018/8/7
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3044,167, ,B1, 2008 BATHGATE AVE , ,10457,2,0,2,"2,520","2,340",1998, 1 , B1 ," $4,000 ",2018/1/3
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3046,11, ,B9, 2042 WASHINGTON AVENUE , ,10457,2,0,2,"1,497","1,566",1899, 1 , B9 ," $453,000 ",2018/7/18
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3046,12, ,B9, 2044 WASHINGTON AVENUE , ,10457,2,0,2,"1,625","1,804",1899, 1 , B9 ," $336,000 ",2018/4/12
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3046,41, ,B2, 2071 BATHGATE AVE , ,10457,2,0,2,"1,957","1,590",1899, 1 , B2 ," $610,000 ",2018/10/19
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3047,9, ,B9, 2122 WASHINGTON AVENUE , ,10457,2,0,2,"1,258","2,340",1901, 1 , B9 ," $490,000 ",2017/12/29
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3047,17, ,B3, 2123 BATHGATE , ,10457,2,0,2,"2,500","1,404",1901, 1 , B3 , $-   ,2018/8/8
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3048,23, ,B3, 2194 BATHGATE AVENUE , ,10457,2,0,2,"1,712","1,580",1901, 1 , B3 ," $598,500 ",2018/7/31
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3050,61, ,S2, 500 EAST 183RD STREET , ,10458,2,1,3,732,"2,055",1900, 1 , S2 ," $940,000 ",2018/1/25
2,BATHGATE,02 TWO FAMILY DWELLINGS                    ,1,3050,62, ,S2, 502 EAST 183RD STREET , ,10458,2,1,3,768,"2,055",1901, 1 , S2 , $-   ,2018/1/25
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3035,54, ,C0, 457 EAST 178 STREET , ,10457,3,0,3,"1,800","3,520",2007, 1 , C0 ," $476,580 ",2018/9/28
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3037,105, ,C0, 463 EAST 181 , ,10457,3,0,3,"1,095","2,779",2006, 1 , C0 ," $739,800 ",2018/5/18
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3037,110, ,C0, 453 EAST 181 , ,10457,3,0,3,"1,687","3,037",2006, 1 , C0 ," $750,000 ",2018/9/13
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3038,22, ,C0, 460 E 183RD STREET , ,10458,3,0,3,"1,485","1,536",1910, 1 , C0 ," $402,219 ",2018/7/30
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3041,8, ,C0, 446 CYRUS PLACE , ,10458,3,0,3,"2,320","2,008",1910, 1 , C0 ," $110,000 ",2018/2/15
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3046,47, ,C0, 2063 BATHGATE AVENUE , ,10457,3,0,3,"2,422","2,400",1901, 1 , C0 ," $350,000 ",2017/12/22
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3050,28, ,C0, 2265 BASSFORD AVENUE , ,10457,3,0,3,"1,250","2,730",2003, 1 , C0 ," $554,007 ",2018/1/12
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3050,129, ,C0, 2261 BASSFORD AVENUE , ,10457,3,0,3,"1,739","2,730",2003, 1 , C0 ," $489,007 ",2017/11/21
2,BATHGATE,03 THREE FAMILY DWELLINGS                  ,1,3053,50, ,C0, 2325 BATHGATE AVENUE , ,10458,3,0,3,"2,883","2,320",1931, 1 , C0 ," $550,000 ",2018/9/21
2,BATHGATE,05 TAX CLASS 1 VACANT LAND                 ,1B,3045,25, ,V0, 2086 BATHGATE AVENUE , ,10457,0,0,0,"2,302",0,0, 1 , V0 , $-   ,2018/10/22
2,BATHGATE,06 TAX CLASS 1 - OTHER                     ,1,3046,36, ,Z0, 2081 BATHGATE AVENUE , ,10457,0,0,0,"2,329",0,0, 1 , Z0 ," $165,000 ",2018/7/13
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2A,2897,52, ,C2, 410 EAST 173RD STREET , ,10457,6,0,6,"2,353","3,210",1908, 2 , C2 ," $900,000 ",2018/9/17
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,2899,44, ,C1, 404 EAST 175TH STREET , ,10457,8,0,8,"1,981","6,032",1931, 2 , C1 ," $1,470,000 ",2018/1/25
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,2908,15, ,C1, 442 EAST 176 STREET , ,10457,24,0,24,"4,968","15,396",1910, 2 , C1 ," $15,400,000 ",2018/9/21
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,2908,17, ,C1, 446 EAST 176 STREET , ,10457,24,0,24,"5,616","15,536",1931, 2 , C1 , $-   ,2018/9/21
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,2909,12, ,C7, 4196 PARK AVENUE , ,10457,10,1,11,"3,483","12,863",1931, 2 , C7 , $-   ,2018/9/21
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,2913,43, ,C7, 495 CLAREMONT PARKWAY , ,10457,18,2,20,"4,100","14,480",1901, 2 , C7 ," $3,500,000 ",2018/4/24
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,2917,6, ,C1, 1824 WASHINGTON AVENUE , ,10457,8,0,8,"3,240","9,340",1931, 2 , C1 , $-   ,2018/9/21
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,2924,6, ,C1, 1874 BATHGATE AVENUE , ,10457,7,0,7,"1,628","5,184",1931, 2 , C1 ," $1,000,000 ",2017/11/20
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,2929,78, ,C1, 1639 FULTON AVENUE , ,10456,42,0,42,"13,017","42,435",1927, 2 , C1 , $-   ,2017/12/7
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,3027,12, ,C1, 1934 WEBSTER AVENUE , ,10457,20,0,20,"6,758","19,000",1903, 2 , C1 ," $2,000,000 ",2018/5/1
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,3031,51, ,C1, 4619 PARK AVENUE , ,10458,8,0,8,"3,798","8,976",1910, 2 , C1 , $-   ,2018/9/5
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,3031,60, ,C1, 4589 PARK AVENUE , ,10458,25,0,25,"4,779","18,975",1912, 2 , C1 ," $4,732,800 ",2018/7/26
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,3031,63, ,C1, 4585 PARK AVENUE , ,10458,25,0,25,"4,787","18,975",1912, 2 , C1 ," $4,794,425 ",2018/7/26
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,3032,3, ,C1, 2408 WEBSTER AVENUE , ,10458,8,0,8,"3,441","9,240",1909, 2 , C1 ," $4,650,000 ",2018/3/8
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,3032,6, ,C7, 2420 WEBSTER AVENUE , ,10458,8,1,9,"4,444","9,333",1909, 2 , C7 , $-   ,2018/3/8
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,3032,7, ,C1, 2422 WEBSTER AVENUE , ,10458,8,0,8,"4,503","9,310",1909, 2 , C1 , $10 ,2018/8/21
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,3032,54, ,C1, 4683 PARK AVENUE , ,10458,8,0,8,"4,025","9,600",1910, 2 , C1 ," $1,803,187 ",2018/8/29
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2B,3032,54, ,C1, 4683 PARK AVENUE , ,10458,8,0,8,"4,025","9,600",1910, 2 , C1 ," $1,450,000 ",2018/10/4
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,3040,22, ,C7, 2383 WASHINGTON AVENUE , ,10458,24,2,26,"5,050","20,365",1911, 2 , C7 , $-   ,2018/5/11
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2,3044,29, ,C1, 1991 BATHGATE AVENUE , ,10457,17,0,17,"3,539","15,175",1908, 2 , C1 , $-   ,2018/9/21
2,BATHGATE,07 RENTALS - WALKUP APARTMENTS             ,2A,3044,52, ,C3, 1968 BATHGATE AVE , ,10457,4,0,4,"1,387","2,550",1931, 2 , C3 ," $400,000 ",2018/1/8
2,BATHGATE,08 RENTALS - ELEVATOR APARTMENTS           ,2,3046,3, ,D1, 2028 WASHINGTON AVENUE , ,10457,34,0,34,"6,825","29,300",1928, 2 , D1 , $-   ,2018/9/21
2,BATHGATE,08 RENTALS - ELEVATOR APARTMENTS           ,2,3050,76, ,D1, 2265 BATHGATE AVENUE , ,10457,17,0,17,"4,088","16,086",2012, 2 , D1 , $-   ,2018/10/22
2,BATHGATE,09 COOPS - WALKUP APARTMENTS               ,2,3045,19, ,C6, 2068 BATHGATE AVENUE , ,10457,0,0,0,0,0,1911, 2 , C6 , $-   ,2018/9/5
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 1J ", ,10457,0,0,0,0,0,1941, 2 , D4 ," $40,560 ",2017/11/30
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 1D ", ,10457,0,0,0,0,0,1941, 2 , D4 ," $36,504 ",2017/12/1
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 1B ", ,10457,0,0,0,0,0,1941, 2 , D4 ," $60,840 ",2017/12/21
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 5F ", ,10457,0,0,0,0,0,1941, 2 , D4 ," $35,490 ",2017/12/22
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 6A ", ,10457,0,0,0,0,0,1941, 2 , D4 ," $35,490 ",2017/12/22
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 6J ", ,10457,0,0,0,0,0,1941, 2 , D4 ," $40,560 ",2018/2/23
2,BATHGATE,10 COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4," 495 EAST 178TH STREET, 3E ", ,10457,0,0,0,0,0,1941, 2 , D4 ," $55,000 ",2018/9/7
2,BATHGATE,14 RENTALS - 4-10 UNIT                     ,2A,3048,51, ,S4, 4415 THIRD AVENUE , ,10457,4,1,5,"2,500","6,000",1967, 2 , S4 ," $1,000,000 ",2017/11/8
2,BATHGATE,21 OFFICE BUILDINGS                        ,4,3027,16, ,O5, 1940 WEBSTER AVENUE , ,10457,0,2,2,"11,963","16,426",1943, 4 , O5 ," $8,150,000 ",2017/11/2
2,BATHGATE,22 STORE BUILDINGS                         ,4,2899,53, ,K1, 4095 PARK AVENUE , ,10457,0,2,2,"8,660","8,560",1931, 4 , K1 ," $2,500,000 ",2018/10/26
2,BATHGATE,22 STORE BUILDINGS                         ,4,2900,63, ,K1, 408-414 EAST TREMONT AVENUE , ,10457,0,3,3,"8,349","8,348",1995, 4 , K1 ," $3,665,250 ",2018/5/16
2,BATHGATE,26 OTHER HOTELS                            ,4,3027,14, ,HR, 1938 WEBSTER AVENUE , ,10457,0,1,1,"6,772","19,000",1907, 4 , HR ," $2,200,000 ",2018/5/1
2,BATHGATE,27 FACTORIES                               ,4,2899,29, ,F1, 405 EAST 174 STREET , ,10457,0,1,1,"11,500","11,349",1930, 4 , F1 ," $2,350,000 ",2018/3/2
2,BATHGATE,27 FACTORIES                               ,4,3036,20, ,F5, 4366 PARK AVE , ,10457,0,1,1,"7,050","14,392",1911, 4 , F5 , $-   ,2018/3/6
2,BATHGATE,27 FACTORIES                               ,4,3036,22, ,F9, 4370 PARK AVENUE , ,10457,0,1,1,"12,799","30,760",1911, 4 , F9 , $-   ,2018/3/6
2,BATHGATE,29 COMMERCIAL GARAGES                      ,4,3029,11, ,G6, 2036 WEBSTER AVE , ,10457,0,1,1,"6,267",0,1995, 4 , G6 ," $700,000 ",2018/7/16
2,BATHGATE,29 COMMERCIAL GARAGES                      ,4,3029,56, ,G6, 4335 PARK AVENUE , ,10457,0,0,0,"6,300",0,0, 4 , G6 , $-   ,2018/7/16
2,BATHGATE,29 COMMERCIAL GARAGES                      ,4,3029,58, ,G6, 4331 PARK AVENUE , ,10457,0,0,0,"6,300",0,0, 4 , G6 , $-   ,2018/7/16
2,BATHGATE,29 COMMERCIAL GARAGES                      ,4,3047,63, ,G7, 4387 3 AVENUE , ,10457,0,0,0,"4,133",0,0, 4 , G7 ," $1,350,000 ",2018/9/21
2,BATHGATE,29 COMMERCIAL GARAGES                      ,4,3048,55, ,G7, EAST 181 STREET , ,10457,0,0,0,"4,681",0,0, 4 , G7 ," $722,000 ",2018/7/17
2,BATHGATE,29 COMMERCIAL GARAGES                      ,4,3050,69, ,G9, 502 EAST 183 STREET , ,10458,0,4,4,"4,027","2,400",1901, 4 , G9 ," $135,000 ",2018/1/25
2,BATHGATE,30 WAREHOUSES                              ,4,2906,93, ,E9, 463 EAST 173 STREET , ,10457,0,2,2,"19,114","32,711",1945, 4 , E9 , $-   ,2018/1/26
2,BATHGATE,30 WAREHOUSES                              ,4,3041,21, ,E1, 4663 3 AVENUE , ,10458,0,1,1,"12,700","12,700",1931, 4 , E1 , $-   ,2018/4/25
2,BATHGATE,30 WAREHOUSES                              ,4,3041,21, ,E1, 4663 3 AVENUE , ,10458,0,1,1,"12,700","12,700",1931, 4 , E1 , $-   ,2018/8/8
2,BATHGATE,31 COMMERCIAL VACANT LAND                  ,4,2898,58, ,V1, 403 EAST 173 STREET , ,10457,0,0,0,"1,869",0,0, 4 , V1 ," $195,504 ",2017/11/22
2,BATHGATE,31 COMMERCIAL VACANT LAND                  ,4,2898,58, ,V1, 403 E 173RD STREET , ,10457,0,0,0,"1,869",0,0, 4 , V1 ," $218,923 ",2018/1/26
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4707,75, ,A5, 1146 EAST 213TH STREET , ,10469,1,0,1,"1,786","1,018",1945, 1 , A5 ," $420,000 ",2018/1/22
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4709,52, ,A5, 1154 EAST 215 STREET , ,10469,1,0,1,"1,710","1,732",1945, 1 , A5 ," $330,000 ",2018/5/21
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4715,24, ,A5, 1160 EAST 221 STREET , ,10469,1,0,1,"2,058","1,690",1950, 1 , A5 ," $375,000 ",2018/2/23
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4715,53, ,A9, 3834 LACONIA AVENUE , ,10469,1,0,1,"1,795","1,690",1950, 1 , A9 ," $280,000 ",2018/5/25
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4715,59, ,A9, 1114 EAST 221 STREET , ,10469,1,0,1,"2,284","1,890",1950, 1 , A9 , $-   ,2018/8/30
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4715,67, ,A9, 1130 EAST 221ST STREET , ,10469,1,0,1,"1,746","1,690",1950, 1 , A9 , $-   ,2018/7/30
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4716,59, ,A9, 1103 EAST 221ST STREET , ,10469,1,0,1,"1,432","1,648",1950, 1 , A9 ," $308,000 ",2018/8/31
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4719,52, ,A9, 1427 HICKS STREET , ,10469,1,0,1,"1,710","1,690",1960, 1 , A9 , $-   ,2018/5/25
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4722,6, ,A1, 3525 EASTCHESTER ROAD , ,10469,1,0,1,"2,735","1,530",1915, 1 , A1 ," $313,326 ",2018/10/5
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4723,8, ,A2, 3473 MICKLE AVENUE , ,10469,1,0,1,"2,644","1,024",1945, 1 , A2 , $10 ,2018/5/14
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4724,21, ,A1, 3453 KINGSLAND AVENUE , ,10469,1,0,1,"2,283","1,112",1910, 1 , A1 ," $299,000 ",2017/12/4
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4725,22, ,A2, 1483 HICKS STREET , ,10469,1,0,1,"2,375","1,764",1915, 1 , A2 ," $624,523 ",2018/8/13
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4733,90, ,A5, 3315 BOUCK AVENUE , ,10469,1,0,1,"1,900","1,254",1940, 1 , A5 , $-   ,2018/9/13
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4734,110, ,A5, 3272 BOUCK AVENUE , ,10469,1,0,1,"2,300","1,782",1955, 1 , A5 ," $461,000 ",2018/6/5
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4735,44, ,A5, 3326 WILSON AVENUE , ,10469,1,0,1,"2,550","1,920",1930, 1 , A5 ," $475,000 ",2018/7/31
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4735,45, ,A5, 3328 WILSON AVENUE , ,10469,1,0,1,"1,900","1,254",1930, 1 , A5 , $-   ,2017/11/6
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4735,45, ,A5, 3328 WILSON AVENUE , ,10469,1,0,1,"1,900","1,254",1930, 1 , A5 , $-   ,2018/4/5
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4735,86, ,A5, 3318 WILSON AVE , ,10469,1,0,1,"2,217","1,620",1930, 1 , A5 ," $300,000 ",2018/10/5
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4736,64, ,A5, 3356 FISH AVENUE , ,10469,1,0,1,"1,775","1,585",1935, 1 , A5 ," $393,000 ",2018/5/14
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4739,149, ,A5, 3230 WILSON AVENUE , ,10469,1,0,1,"2,375","1,440",1940, 1 , A5 ," $490,000 ",2018/3/27
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4740,40, ,A5, 3224 FISH AVENUE , ,10469,1,0,1,"2,500","1,736",1935, 1 , A5 , $-   ,2018/9/27
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4741,22, ,A5, 3221 FENTON AVENUE , ,10469,1,0,1,"2,050","1,280",1920, 1 , A5 ," $240,000 ",2017/11/17
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4742,3, ,A5, 3261 CORSA AVE , ,10469,1,0,1,"1,800","1,260",1950, 1 , A5 ," $245,000 ",2018/6/21
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4742,3, ,A5, 3261 CORSA AVENUE , ,10469,1,0,1,"1,800","1,260",1950, 1 , A5 ," $440,000 ",2018/9/21
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4742,14, ,A5, 3239 CORSA AVE , ,10469,1,0,1,"2,300","1,260",1950, 1 , A5 ," $462,500 ",2018/3/26
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4742,37, ,A5, 3220 FENTON AVENUE , ,10469,1,0,1,"2,050","1,280",1920, 1 , A5 ," $400,000 ",2018/2/14
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4742,41, ,A5, 3228 FENTON AVENUE , ,10469,1,0,1,"2,050","1,280",1920, 1 , A5 ," $201,000 ",2018/5/17
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4743,29, ,A5, 3309 EASTCHESTER ROAD , ,10469,1,0,1,"1,800","1,782",1950, 1 , A5 ," $465,000 ",2018/4/10
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4744,19, ,A2, 3323 MICKLE AVE , ,10469,1,0,1,"2,375",722,1930, 1 , A2 ," $405,000 ",2017/11/8
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4745,7, ,A5, 3347 KINGSLAND AVENUE , ,10469,1,0,1,"1,710","1,863",1950, 1 , A5 ," $515,000 ",2018/3/12
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4745,34, ,A1, 1605 GIVAN AVENUE , ,10469,1,0,1,"2,748","1,332",1920, 1 , A1 ," $270,000 ",2018/2/16
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4745,34, ,A1, 1605 GIVAN AVENUE , ,10469,1,0,1,"2,748","1,332",1920, 1 , A1 ," $545,000 ",2018/10/18
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4745,43, ,A5, 3316 MICKLE AVENUE , ,10469,1,0,1,"1,520","1,432",1970, 1 , A5 ," $270,000 ",2018/9/25
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4746,45, ,A5, 3240 CORSA AVENUE , ,10469,1,0,1,"2,350","1,260",1950, 1 , A5 , $10 ,2017/11/17
2,BAYCHESTER,01 ONE FAMILY DWELLINGS                    ,1,4748,53, ,A5, 3232 MICKLE AVE , ,10469,1,0,1,"2,161","1,258",1965, 1 , A5 ," $460,000 ",2018/9/5
